channel_id,target,residual,threshold_MeV,energy_MeV,sigma_mb
p_C12_x_C11,C12,C11,17.9,78.58931552587646,69.01431686377978
p_C12_x_C11,C12,C11,17.9,78.8313856427379,68.83346998286339
p_C12_x_C11,C12,C11,17.9,79.07345575959933,68.6473536047211
p_C12_x_C11,C12,C11,17.9,79.31552587646077,68.40091358139819
p_C12_x_C11,C12,C11,17.9,79.55759599332221,68.17453619891614
p_C12_x_C11,C12,C11,17.9,79.79966611018364,67.96183999877744
p_C12_x_C11,C12,C11,17.9,80.04173622704508,67.6969287425967
p_C12_x_C11,C12,C11,17.9,80.2838063439065,67.46470124706465
p_C12_x_C11,C12,C11,17.9,80.52587646076795,67.16027470480583
p_C12_x_C11,C12,C11,17.9,80.76794657762939,66.8625881988484
p_C12_x_C11,C12,C11,17.9,81.01001669449082,66.57721425633714
p_C12_x_C11,C12,C11,17.9,81.25208681135226,66.28474396099534
p_C12_x_C11,C12,C11,17.9,81.49415692821368,66.01280217212198
p_C12_x_C11,C12,C11,17.9,81.73622704507513,65.6863042040635
p_C12_x_C11,C12,C11,17.9,81.97829716193657,65.40675605105305
p_C12_x_C11,C12,C11,17.9,82.220367278798,65.06391881553664
p_C12_x_C11,C12,C11,17.9,82.46243739565944,64.77407549241295
p_C12_x_C11,C12,C11,17.9,82.70450751252086,64.48982235182315
p_C12_x_C11,C12,C11,17.9,82.9465776293823,64.23540939850548
p_C12_x_C11,C12,C11,17.9,83.18864774624375,63.992519905303965
p_C12_x_C11,C12,C11,17.9,83.43071786310517,63.717973146518986
p_C12_x_C11,C12,C11,17.9,83.67278797996661,63.44493704631988
p_C12_x_C11,C12,C11,17.9,83.91485809682804,63.245540757074934
p_C12_x_C11,C12,C11,17.9,84.15692821368948,63.04826204200934
p_C12_x_C11,C12,C11,17.9,84.39899833055092,62.89050531132969
p_C12_x_C11,C12,C11,17.9,84.64106844741235,62.75699977240401
p_C12_x_C11,C12,C11,17.9,84.88313856427379,62.666904920675336
p_C12_x_C11,C12,C11,17.9,85.12520868113522,62.577413157988
p_C12_x_C11,C12,C11,17.9,85.36727879799666,62.52018246129038
p_C12_x_C11,C12,C11,17.9,85.6093489148581,62.44030628624797
p_C12_x_C11,C12,C11,17.9,85.85141903171953,62.42770469875143
p_C12_x_C11,C12,C11,17.9,86.09348914858097,62.42902340385115
p_C12_x_C11,C12,C11,17.9,86.3355592654424,62.42477238406305
p_C12_x_C11,C12,C11,17.9,86.57762938230384,62.46515444619767
p_C12_x_C11,C12,C11,17.9,86.81969949916528,62.512687343994635
p_C12_x_C11,C12,C11,17.9,87.06176961602671,62.56959607608984
p_C12_x_C11,C12,C11,17.9,87.30383973288815,62.63491777964765
p_C12_x_C11,C12,C11,17.9,87.54590984974958,62.700170255330946
p_C12_x_C11,C12,C11,17.9,87.78797996661102,62.79357701493183
p_C12_x_C11,C12,C11,17.9,88.03005008347246,62.81939340121943
p_C12_x_C11,C12,C11,17.9,88.27212020033389,62.89003855086413
p_C12_x_C11,C12,C11,17.9,88.51419031719533,62.94506308795819
p_C12_x_C11,C12,C11,17.9,88.75626043405676,62.97984851028562
p_C12_x_C11,C12,C11,17.9,88.9983305509182,63.03814183402045
p_C12_x_C11,C12,C11,17.9,89.24040066777964,63.06525857412957
p_C12_x_C11,C12,C11,17.9,89.48247078464107,63.119768203955694
p_C12_x_C11,C12,C11,17.9,89.72454090150251,63.10945224636061
p_C12_x_C11,C12,C11,17.9,89.96661101836393,63.13133372888009
p_C12_x_C11,C12,C11,17.9,90.20868113522538,63.137194734885526
p_C12_x_C11,C12,C11,17.9,90.45075125208682,63.0912800653639
p_C12_x_C11,C12,C11,17.9,90.69282136894824,63.048255331049845
p_C12_x_C11,C12,C11,17.9,90.93489148580969,63.00155598795136
p_C12_x_C11,C12,C11,17.9,91.17696160267111,62.96681672282722
p_C12_x_C11,C12,C11,17.9,91.41903171953255,62.88279556759587
p_C12_x_C11,C12,C11,17.9,91.661101836394,62.812178992059955
p_C12_x_C11,C12,C11,17.9,91.90317195325542,62.70312691846392
p_C12_x_C11,C12,C11,17.9,92.14524207011686,62.61596906473413
p_C12_x_C11,C12,C11,17.9,92.38731218697828,62.51233396283584
p_C12_x_C11,C12,C11,17.9,92.62938230383972,62.41086079614975
p_C12_x_C11,C12,C11,17.9,92.87145242070116,62.275973943734144
p_C12_x_C11,C12,C11,17.9,93.1135225375626,62.14809756420651
p_C12_x_C11,C12,C11,17.9,93.35559265442404,62.0207851973727
p_C12_x_C11,C12,C11,17.9,93.59766277128548,61.88493724027899
p_C12_x_C11,C12,C11,17.9,93.83973288814693,61.75471677717685
p_C12_x_C11,C12,C11,17.9,94.08180300500835,61.6475916126405
p_C12_x_C11,C12,C11,17.9,94.32387312186978,61.52207685829702
p_C12_x_C11,C12,C11,17.9,94.56594323873122,61.42218632121077
p_C12_x_C11,C12,C11,17.9,94.80801335559264,61.30337385576183
p_C12_x_C11,C12,C11,17.9,95.05008347245408,61.21066496637221
p_C12_x_C11,C12,C11,17.9,95.29215358931552,61.09274151384463
p_C12_x_C11,C12,C11,17.9,95.53422370617696,60.96662881783503
p_C12_x_C11,C12,C11,17.9,95.7762938230384,60.85711003644717
p_C12_x_C11,C12,C11,17.9,96.01836393989984,60.764499490180384
p_C12_x_C11,C12,C11,17.9,96.26043405676128,60.683857224546934
p_C12_x_C11,C12,C11,17.9,96.50250417362273,60.61158504150258
p_C12_x_C11,C12,C11,17.9,96.74457429048414,60.54216607387004
p_C12_x_C11,C12,C11,17.9,96.98664440734558,60.47154372107596
p_C12_x_C11,C12,C11,17.9,97.228714524207,60.420025137172416
p_C12_x_C11,C12,C11,17.9,97.47078464106843,60.366518656628216
p_C12_x_C11,C12,C11,17.9,97.71285475792988,60.32757646204924
p_C12_x_C11,C12,C11,17.9,97.95492487479132,60.28181523523102
p_C12_x_C11,C12,C11,17.9,98.19699499165276,60.23137375673547
p_C12_x_C11,C12,C11,17.9,98.4390651085142,60.17999849380529
p_C12_x_C11,C12,C11,17.9,98.68113522537564,60.13357756636638
p_C12_x_C11,C12,C11,17.9,98.92320534223708,60.07306645531675
