profile_label,quantity,depth_low_mm,depth_high_mm,depth_mm,expected_count_run,expected_count_per_proton,expected_count_per_Gy
all_production,production_nuclei,30.0,32.0,31.0,50.566393134155604,5.0566393134155604e-05,5056.6393134155605
all_production,production_nuclei,32.0,34.0,33.0,50.97885901870151,5.0978859018701514e-05,5097.885901870151
all_production,production_nuclei,34.0,36.0,35.0,51.402283195095926,5.140228319509593e-05,5140.228319509592
all_production,production_nuclei,36.0,38.0,37.0,51.821303056064174,5.1821303056064175e-05,5182.130305606417
all_production,production_nuclei,38.0,40.0,39.0,52.22352387930166,5.222352387930166e-05,5222.352387930166
all_production,production_nuclei,40.0,42.0,41.0,52.60281008726707,5.260281008726707e-05,5260.281008726707
all_production,production_nuclei,42.0,44.0,43.0,52.95987397195267,5.295987397195267e-05,5295.987397195267
all_production,production_nuclei,44.0,46.0,45.0,53.299626268106415,5.329962626810642e-05,5329.962626810641
all_production,production_nuclei,46.0,48.0,47.0,53.62675795501819,5.362675795501819e-05,5362.675795501819
all_production,production_nuclei,48.0,50.0,49.0,53.942355304637786,5.394235530463779e-05,5394.235530463779
all_production,production_nuclei,50.0,52.0,51.0,54.243785540626696,5.4243785540626696e-05,5424.3785540626695
all_production,production_nuclei,52.0,54.0,53.0,54.52778440172089,5.452778440172089e-05,5452.778440172089
all_production,production_nuclei,54.0,56.0,55.0,54.79421744618659,5.479421744618659e-05,5479.421744618659
all_production,production_nuclei,56.0,58.0,57.0,55.04724570986846,5.5047245709868464e-05,5504.724570986846
all_production,production_nuclei,58.0,60.0,59.0,55.292424098421115,5.5292424098421114e-05,5529.242409842112
all_production,production_nuclei,60.0,62.0,61.0,55.531745121495376,5.5531745121495376e-05,5553.174512149538
all_production,production_nuclei,62.0,64.0,63.0,55.76142866133781,5.576142866133781e-05,5576.14286613378
all_production,production_nuclei,64.0,66.0,65.0,55.976416526696454,5.5976416526696456e-05,5597.641652669645
all_production,production_nuclei,66.0,68.0,67.0,56.180157282694346,5.618015728269434e-05,5618.0157282694345
all_production,production_nuclei,68.0,70.0,69.0,56.39211802002876,5.639211802002876e-05,5639.211802002876
all_production,production_nuclei,70.0,72.0,71.0,56.644808413524636,5.6644808413524635e-05,5664.480841352463
all_production,production_nuclei,72.0,74.0,73.0,56.969223768915775,5.6969223768915774e-05,5696.922376891577
all_production,production_nuclei,74.0,76.0,75.0,57.377785387970775,5.7377785387970774e-05,5737.778538797077
all_production,production_nuclei,76.0,78.0,77.0,57.85864981599359,5.785864981599359e-05,5785.8649815993585
all_production,production_nuclei,78.0,80.0,79.0,58.388344308728655,5.8388344308728654e-05,5838.834430872866
all_production,production_nuclei,80.0,82.0,81.0,58.95374114240853,5.895374114240853e-05,5895.3741142408535
all_production,production_nuclei,82.0,84.0,83.0,59.56290777826215,5.956290777826215e-05,5956.290777826215
all_production,production_nuclei,84.0,86.0,85.0,60.23042789080595,6.023042789080595e-05,6023.042789080595
all_production,production_nuclei,86.0,88.0,87.0,60.94229913829791,6.0942299138297913e-05,6094.229913829791
all_production,production_nuclei,88.0,90.0,89.0,61.6173552295026,6.16173552295026e-05,6161.73552295026
all_production,production_nuclei,90.0,92.0,91.0,62.078697653965015,6.207869765396502e-05,6207.869765396502
all_production,production_nuclei,92.0,94.0,93.0,62.05226825825946,6.205226825825946e-05,6205.2268258259455
all_production,production_nuclei,94.0,96.0,95.0,61.22204829326631,6.122204829326631e-05,6122.204829326631
all_production,production_nuclei,96.0,98.0,97.0,59.354119516576475,5.9354119516576474e-05,5935.4119516576475
all_production,production_nuclei,98.0,100.0,99.0,56.430461259609224,5.643046125960922e-05,5643.046125960922
all_production,production_nuclei,100.0,102.0,101.0,52.55868433790037,5.255868433790037e-05,5255.868433790037
all_production,production_nuclei,102.0,104.0,103.0,47.30333186177524,4.730333186177524e-05,4730.333186177524
all_production,production_nuclei,104.0,106.0,105.0,38.9163009418862,3.8916300941886196e-05,3891.6300941886198
all_production,production_nuclei,106.0,108.0,107.0,26.659594944181617,2.6659594944181617e-05,2665.9594944181617
all_production,production_nuclei,108.0,110.0,109.0,16.237213403066118,1.6237213403066117e-05,1623.7213403066119
all_production,production_nuclei,110.0,112.0,111.0,13.92659337065781,1.392659337065781e-05,1392.659337065781
all_production,production_nuclei,112.0,114.0,113.0,0.0,0.0,0.0
all_production,production_nuclei,114.0,116.0,115.0,0.0,0.0,0.0
all_production,production_nuclei,116.0,118.0,117.0,0.0,0.0,0.0
all_production,production_nuclei,118.0,120.0,119.0,0.0,0.0,0.0
all_production,production_nuclei,120.0,122.0,121.0,0.0,0.0,0.0
all_d120s300,measured_decays,0.0,2.0,1.0,13.024584937806994,1.3024584937806993e-05,1302.4584937806994
